exp_id,varied_param,patch_size,depth,num_heads,timesteps,params,avg_epoch_loss,fid,checkpoint,all_loss_png,epoch_loss_png,use_vae,latent_space
exp_001_p2_d8_h6_T1000,patch_size,2,8,6,1000,21908368,0.1874653210534769,223.53787458382374,experiments/20251021_053158/exp_001_p2_d8_h6_T1000/exp_001_p2_d8_h6_T1000_checkpoint.pth,experiments/20251021_053158/exp_001_p2_d8_h6_T1000/exp_001_p2_d8_h6_T1000_all_batches_loss.png,experiments/20251021_053158/exp_001_p2_d8_h6_T1000/exp_001_p2_d8_h6_T1000_epoch_loss.png,True,True
exp_002_p4_d8_h6_T1000,patch_size,4,8,6,1000,21926848,0.1925576789414181,187.5041390842611,experiments/20251021_053158/exp_002_p4_d8_h6_T1000/exp_002_p4_d8_h6_T1000_checkpoint.pth,experiments/20251021_053158/exp_002_p4_d8_h6_T1000/exp_002_p4_d8_h6_T1000_all_batches_loss.png,experiments/20251021_053158/exp_002_p4_d8_h6_T1000/exp_002_p4_d8_h6_T1000_epoch_loss.png,True,True
exp_003_p8_d8_h6_T1000,patch_size,8,8,6,1000,22069888,0.2070499535869149,215.086943651115,experiments/20251021_053158/exp_003_p8_d8_h6_T1000/exp_003_p8_d8_h6_T1000_checkpoint.pth,experiments/20251021_053158/exp_003_p8_d8_h6_T1000/exp_003_p8_d8_h6_T1000_all_batches_loss.png,experiments/20251021_053158/exp_003_p8_d8_h6_T1000/exp_003_p8_d8_h6_T1000_epoch_loss.png,True,True
exp_004_p2_d4_h6_T1000,depth,2,4,6,1000,11268496,0.1885954908588353,219.98820280869109,experiments/20251021_053158/exp_004_p2_d4_h6_T1000/exp_004_p2_d4_h6_T1000_checkpoint.pth,experiments/20251021_053158/exp_004_p2_d4_h6_T1000/exp_004_p2_d4_h6_T1000_all_batches_loss.png,experiments/20251021_053158/exp_004_p2_d4_h6_T1000/exp_004_p2_d4_h6_T1000_epoch_loss.png,True,True
exp_005_p2_d6_h6_T1000,depth,2,6,6,1000,16588432,0.1877220404498717,177.87474393398577,experiments/20251021_053158/exp_005_p2_d6_h6_T1000/exp_005_p2_d6_h6_T1000_checkpoint.pth,experiments/20251021_053158/exp_005_p2_d6_h6_T1000/exp_005_p2_d6_h6_T1000_all_batches_loss.png,experiments/20251021_053158/exp_005_p2_d6_h6_T1000/exp_005_p2_d6_h6_T1000_epoch_loss.png,True,True
exp_006_p2_d8_h6_T1000,depth,2,8,6,1000,21908368,0.1874661730492816,221.7527569256294,experiments/20251021_053158/exp_006_p2_d8_h6_T1000/exp_006_p2_d8_h6_T1000_checkpoint.pth,experiments/20251021_053158/exp_006_p2_d8_h6_T1000/exp_006_p2_d8_h6_T1000_all_batches_loss.png,experiments/20251021_053158/exp_006_p2_d8_h6_T1000/exp_006_p2_d8_h6_T1000_epoch_loss.png,True,True
exp_007_p2_d10_h6_T1000,depth,2,10,6,1000,27228304,0.1865647571051822,191.31148032900796,experiments/20251021_053158/exp_007_p2_d10_h6_T1000/exp_007_p2_d10_h6_T1000_checkpoint.pth,experiments/20251021_053158/exp_007_p2_d10_h6_T1000/exp_007_p2_d10_h6_T1000_all_batches_loss.png,experiments/20251021_053158/exp_007_p2_d10_h6_T1000/exp_007_p2_d10_h6_T1000_epoch_loss.png,True,True
exp_008_p2_d8_h1_T1000,num_heads,2,8,1,1000,21908368,0.1848070805563646,201.30752181181361,experiments/20251021_053158/exp_008_p2_d8_h1_T1000/exp_008_p2_d8_h1_T1000_checkpoint.pth,experiments/20251021_053158/exp_008_p2_d8_h1_T1000/exp_008_p2_d8_h1_T1000_all_batches_loss.png,experiments/20251021_053158/exp_008_p2_d8_h1_T1000/exp_008_p2_d8_h1_T1000_epoch_loss.png,True,True
exp_009_p2_d8_h2_T1000,num_heads,2,8,2,1000,21908368,0.1856393958715831,189.07957090239648,experiments/20251021_053158/exp_009_p2_d8_h2_T1000/exp_009_p2_d8_h2_T1000_checkpoint.pth,experiments/20251021_053158/exp_009_p2_d8_h2_T1000/exp_009_p2_d8_h2_T1000_all_batches_loss.png,experiments/20251021_053158/exp_009_p2_d8_h2_T1000/exp_009_p2_d8_h2_T1000_epoch_loss.png,True,True
exp_010_p2_d8_h4_T1000,num_heads,2,8,4,1000,21908368,0.1865322760799352,238.02480488101634,experiments/20251021_053158/exp_010_p2_d8_h4_T1000/exp_010_p2_d8_h4_T1000_checkpoint.pth,experiments/20251021_053158/exp_010_p2_d8_h4_T1000/exp_010_p2_d8_h4_T1000_all_batches_loss.png,experiments/20251021_053158/exp_010_p2_d8_h4_T1000/exp_010_p2_d8_h4_T1000_epoch_loss.png,True,True
